Date,ATM,Cash
2010-05-01,ATM1,87
2010-05-02,ATM1,101
2010-05-03,ATM1,74
2010-05-04,ATM1,4
2010-05-05,ATM1,100
2010-05-06,ATM1,79
2010-05-07,ATM1,86
2010-05-08,ATM1,87
2010-05-09,ATM1,100
2010-05-10,ATM1,74
2010-05-11,ATM1,4
2010-05-12,ATM1,100
2010-05-13,ATM1,79
2010-05-14,ATM1,86
2010-05-15,ATM1,87
2010-05-16,ATM1,100
2010-05-17,ATM1,74
2010-05-18,ATM1,4
2010-05-19,ATM1,100
2010-05-20,ATM1,79
2010-05-21,ATM1,86
2010-05-22,ATM1,87
2010-05-23,ATM1,100
2010-05-24,ATM1,74
2010-05-25,ATM1,4
2010-05-26,ATM1,100
2010-05-27,ATM1,79
2010-05-28,ATM1,86
2010-05-29,ATM1,87
2010-05-30,ATM1,100
2010-05-31,ATM1,74
2010-05-01,ATM2,66
2010-05-02,ATM2,71
2010-05-03,ATM2,11
2010-05-04,ATM2,2
2010-05-05,ATM2,98
2010-05-06,ATM2,89
2010-05-07,ATM2,66
2010-05-08,ATM2,66
2010-05-09,ATM2,71
2010-05-10,ATM2,11
2010-05-11,ATM2,2
2010-05-12,ATM2,98
2010-05-13,ATM2,89
2010-05-14,ATM2,66
2010-05-15,ATM2,66
2010-05-16,ATM2,71
2010-05-17,ATM2,11
2010-05-18,ATM2,2
2010-05-19,ATM2,98
2010-05-20,ATM2,89
2010-05-21,ATM2,66
2010-05-22,ATM2,66
2010-05-23,ATM2,71
2010-05-24,ATM2,11
2010-05-25,ATM2,2
2010-05-26,ATM2,98
2010-05-27,ATM2,89
2010-05-28,ATM2,66
2010-05-29,ATM2,66
2010-05-30,ATM2,71
2010-05-31,ATM2,11
2010-05-01,ATM3,88
2010-05-02,ATM3,88
2010-05-03,ATM3,88
2010-05-04,ATM3,88
2010-05-05,ATM3,88
2010-05-06,ATM3,88
2010-05-07,ATM3,88
2010-05-08,ATM3,88
2010-05-09,ATM3,88
2010-05-10,ATM3,88
2010-05-11,ATM3,88
2010-05-12,ATM3,88
2010-05-13,ATM3,88
2010-05-14,ATM3,88
2010-05-15,ATM3,88
2010-05-16,ATM3,88
2010-05-17,ATM3,88
2010-05-18,ATM3,88
2010-05-19,ATM3,88
2010-05-20,ATM3,88
2010-05-21,ATM3,88
2010-05-22,ATM3,88
2010-05-23,ATM3,88
2010-05-24,ATM3,88
2010-05-25,ATM3,88
2010-05-26,ATM3,88
2010-05-27,ATM3,88
2010-05-28,ATM3,88
2010-05-29,ATM3,88
2010-05-30,ATM3,88
2010-05-31,ATM3,88
2010-05-01,ATM4,87
2010-05-02,ATM4,101
2010-05-03,ATM4,74
2010-05-04,ATM4,4
2010-05-05,ATM4,100
2010-05-06,ATM4,79
2010-05-07,ATM4,86
2010-05-08,ATM4,87
2010-05-09,ATM4,100
2010-05-10,ATM4,74
2010-05-11,ATM4,4
2010-05-12,ATM4,100
2010-05-13,ATM4,79
2010-05-14,ATM4,86
2010-05-15,ATM4,87
2010-05-16,ATM4,100
2010-05-17,ATM4,74
2010-05-18,ATM4,4
2010-05-19,ATM4,100
2010-05-20,ATM4,79
2010-05-21,ATM4,86
2010-05-22,ATM4,87
2010-05-23,ATM4,100
2010-05-24,ATM4,74
2010-05-25,ATM4,4
2010-05-26,ATM4,100
2010-05-27,ATM4,79
2010-05-28,ATM4,86
2010-05-29,ATM4,87
2010-05-30,ATM4,100
2010-05-31,ATM4,74
